Iteration,Train Loss,Validation Loss
0,4.512429714202881,4.510093688964844
500,2.246729850769043,2.4313976764678955
1000,2.0032951831817627,2.4072463512420654
1500,1.6566767692565918,2.402528762817383
2000,1.2493222951889038,2.3527841567993164
2500,0.89072585105896,2.415619134902954
3000,0.6188095211982727,2.558095693588257
3500,0.4294411540031433,2.7291741371154785
4000,0.2945287227630615,2.9524757862091064
4500,0.20615001022815704,3.1783108711242676
5000,0.14923615753650665,3.417994737625122
