Iteration,Train Loss,Validation Loss
0,4.5157952308654785,4.493040561676025
500,1.2960513830184937,2.5203258991241455
1000,0.18054431676864624,3.5676207542419434
1500,0.07128986716270447,4.274348258972168
2000,0.051653310656547546,4.620244979858398
2500,0.044332295656204224,4.864325523376465
3000,0.040289707481861115,4.950222015380859
3500,0.03820018842816353,5.095301628112793
4000,0.03601134195923805,5.161571025848389
4500,0.03520980477333069,5.291934967041016
5000,0.03407251462340355,5.329879283905029
