Iteration,Train Loss,Validation Loss
0,4.472914218902588,4.4435648918151855
500,0.7261551022529602,2.7989532947540283
1000,0.08282113075256348,4.064770698547363
1500,0.05222611501812935,4.5394206047058105
2000,0.042769964784383774,4.837996006011963
2500,0.038958121091127396,5.093379974365234
3000,0.036592427641153336,5.246099472045898
3500,0.03452519327402115,5.311183929443359
4000,0.03354520723223686,5.563496112823486
4500,0.03263065218925476,5.62261962890625
5000,0.03226251155138016,5.537038803100586
